;;butterknife;5233a90caed1c6a66d6bffefec8932b79338eb53;/home/luna/TG/java-projects/butterknife/;5496; 2015-04-17;
;;dropwizard;f127ad75485b930101f87a4029044ac4bcb04ca2;/home/luna/TG/java-projects/dropwizard/;26425; 2015-05-01;
;;Calligraphy;e8fd3264a4a4b8ee5976d7c5d7ae9cc846a1a088;/home/luna/TG/java-projects/Calligraphy/;891; 2015-04-27;
;;guava;9e23ac36e8fe0f54d399d54b67b3c484c46eccb1;/home/luna/TG/java-projects/guava/;269550; 2015-04-28;
;;material-dialogs;bae5347c72a1679169a96388ace74b61bbfd7b14;/home/luna/TG/java-projects/material-dialogs/;4201; 2015-04-29;
;;PhotoView;e365829697519a0a809e026bcf3a771f75fefa36;/home/luna/TG/java-projects/PhotoView/;2006; 2015-04-29;
;;Android_Data;93aaa8b503268d5ab987fe887c516846e6e0e2e6;/home/luna/TG/java-projects/Android_Data/;False; 2015-04-20;
;;picasso;10bac5ba59c7379eb4be4a2e7af074edc4bd9200;/home/luna/TG/java-projects/picasso/;9029; 2015-04-30;
;;platform_frameworks_base;043b26ba9adc1f8415ab8f6aac9e71d9ca66f898;/home/luna/TG/java-projects/platform_frameworks_base/;1586104; 2015-05-01;
;;presto;6e3e2863e9969012dffea761bed83d14ba94dad7;/home/luna/TG/java-projects/presto/;226499; 2015-04-30;
;;AndroidSlidingUpPanel;f8e8340383256eb47aaacc7e878df5db20816b10;/home/luna/TG/java-projects/AndroidSlidingUpPanel/;1763; 2015-04-24;
;;Hystrix;99e3172a767129fbfd83acda0d2cffb10dcb7976;/home/luna/TG/java-projects/Hystrix/;28817; 2015-04-30;
;;fresco;62726c63caabc7632598007f94c0ee8352af648f;/home/luna/TG/java-projects/fresco/;35643; 2015-04-23;
;;RxBinding;d7a8d773847879cbc3ce44bde27cb8d3e0203fc1;/home/luna/TG/java-projects/RxBinding/;3455; 2015-04-29;
;;android-UniversalMusicPlayer;36471e36c9af00fd4d7bff96e9eb665bd992edd1;/home/luna/TG/java-projects/android-UniversalMusicPlayer/;4013; 2015-04-25;
;;guice;e407dad12885a15451bfc52d30edde3b378ffcd7;/home/luna/TG/java-projects/guice/;54521; 2015-04-29;
;;okhttp;1ac039d07d958e6c5c55caea0e13198bce5a10ae;/home/luna/TG/java-projects/okhttp/;39821; 2015-04-30;
;;RxJava-Android-Samples;d7c5f4e30ee1ebed18b09303166a78644544b86e;/home/luna/TG/java-projects/RxJava-Android-Samples/;1652; 2015-04-23;
;;kafka;f148d8659bca757ff889b404841b423d9e71ba41;/home/luna/TG/java-projects/kafka/;17006; 2015-04-28;
;;logger;8ef1e6bd213d59d701d70bdccadcbbcdb5354a06;/home/luna/TG/java-projects/logger/;552; 2015-04-13;
;;Material-Animations;56e6f4df0fca5d3950acd2323d6be0a3456e3938;/home/luna/TG/java-projects/Material-Animations/;216; 2015-04-02;
;;spark;8e4284cdd02ef7777a3cbcc629f12b1e6396faf8;/home/luna/TG/java-projects/spark/;5403; 2015-04-29;
;;elasticsearch;c165afb4d5a0d90ac214307beb16fc10513c8995;/home/luna/TG/java-projects/elasticsearch/;435666; 2015-04-30;
;;AndroidSwipeLayout;be8b5d483ebb9ec10025bbc7e0b6f38b2a4a4013;/home/luna/TG/java-projects/AndroidSwipeLayout/;2611; 2015-04-30;
;;Android-Bootstrap;f8772273a50742948c6a98addb4ff135be6108a4;/home/luna/TG/java-projects/Android-Bootstrap/;1618; 2015-04-01;
;;dubbo;ba387a902bb87b4451cc2ed513d2a5098912f12d;/home/luna/TG/java-projects/dubbo/;104787; 2015-04-01;
;;Android-CleanArchitecture;c3e953ed1659c50736d0fee650be6f6e624e83b1;/home/luna/TG/java-projects/Android-CleanArchitecture/;2860; 2015-04-30;
;;ion;274ce68c0e7b0ad08f2ed34254729c172cd7eedd;/home/luna/TG/java-projects/ion/;9014; 2015-04-26;
;;Signal-Android;b37c81ddf19fbbcdcf849ceb06d08cea699d855d;/home/luna/TG/java-projects/Signal-Android/;40992; 2015-04-30;
;;androidannotations;b4ae83a1c07994b1513cb2da654f0d4b793eecac;/home/luna/TG/java-projects/androidannotations/;28851; 2015-04-30;
;;kotlin;6ee59a06dd50bee0b95692ef7025328b61e7b472;/home/luna/TG/java-projects/kotlin/;311779; 2015-04-30;
;;Android-ObservableScrollView;95680deb8386772caecce66c2d0288eec25e5c45;/home/luna/TG/java-projects/Android-ObservableScrollView/;9285; 2015-05-01;
;;physical-web;0ee8f4eb14d5f404cf669dc3a381b28e1de77062;/home/luna/TG/java-projects/physical-web/;2069; 2015-04-30;
;;disruptor;105c4d59ed1fe49072860ab3aac51927005a3cb4;/home/luna/TG/java-projects/disruptor/;11649; 2015-05-01;
;;clojure;4964194bae036dc2cddd3f9c03479657aeab6e8c;/home/luna/TG/java-projects/clojure/;38746; 2015-04-24;
;;java-design-patterns;2cdc0e98724ac1fe859de0390b51cc5c258464e2;/home/luna/TG/java-projects/java-design-patterns/;5350; 2015-04-29;
;;spring-boot;0f62f05cdcf9913bb1cee3841d90378b92b77e33;/home/luna/TG/java-projects/spring-boot/;100474; 2015-04-30;
;;junit4;387e8518435df62b557a59001b18109af88fb0dc;/home/luna/TG/java-projects/junit4/;26319; 2015-04-21;
;;glide;ea0a17a72c1752099c5d014c5485993d1fc48cd0;/home/luna/TG/java-projects/glide/;34444; 2015-04-30;
